rank,finalWorth,age,selfMade,birthYear,birthMonth,birthDay,cpi_country,cpi_change_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country,gdp_country,category,country,gender,nBillionaires,totalWealth,meanWealth,state,totalWealthCat,meanWealthCat
1,211000,74,False,1949,3,5,110.05,1.1,65.6,102.5,82.5,24.2,60.7,67059887,46.227638,2.213749,2715518274227,Fashion & Retail,France,M,35,499500.0,14271.42857142857,,1698800,6386.466165413533
2,180000,51,True,1971,6,28,117.24,7.5,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,21427700000000,Automotive,United States,M,754,4575100.0,6067.771883289125,Texas,525300,7195.890410958904
3,114000,59,True,1964,1,12,117.24,7.5,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,21427700000000,Technology,United States,M,754,4575100.0,6067.771883289125,Washington,1877900,5980.573248407643
4,107000,78,True,1944,8,17,117.24,7.5,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,21427700000000,Technology,United States,M,754,4575100.0,6067.771883289125,Hawaii,1877900,5980.573248407643
5,106000,92,True,1930,8,30,117.24,7.5,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,21427700000000,Finance & Investments,United States,M,754,4575100.0,6067.771883289125,Nebraska,1605100,4314.784946236559
6,104000,67,True,1955,10,28,117.24,7.5,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,21427700000000,Technology,United States,M,754,4575100.0,6067.771883289125,Washington,1877900,5980.573248407643
7,94500,81,True,1942,2,14,117.24,7.5,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,21427700000000,Media & Entertainment,United States,M,754,4575100.0,6067.771883289125,New York,427500,4697.802197802198
8,93000,83,True,1940,1,28,141.54,3.6,40.2,105.8,75.0,13.1,55.1,126014024,23.634501,-102.552784,1258286717125,Telecom,Mexico,M,13,165700.0,12746.153846153846,,203500,6564.5161290322585
9,83400,65,False,1957,4,19,180.44,7.7,28.1,113.0,69.4,11.2,49.7,1366417754,20.593684,78.96288,2611000000000,Diversified,India,M,157,628700.0,4004.458598726115,,905200,4840.641711229947
10,80700,67,True,1956,3,24,117.24,7.5,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,21427700000000,Technology,United States,M,754,4575100.0,6067.771883289125,Washington,1877900,5980.573248407643
11,80500,69,False,1953,7,10,110.05,1.1,65.6,102.5,82.5,24.2,60.7,67059887,46.227638,2.213749,2715518274227,Fashion & Retail,France,F,35,499500.0,14271.42857142857,,1698800,6386.466165413533
12,79200,50,True,1973,3,26,117.24,7.5,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,21427700000000,Technology,United States,M,754,4575100.0,6067.771883289125,California,1877900,5980.573248407643
13,77300,87,True,1936,3,28,110.96,0.7,88.9,102.7,83.3,14.2,47.0,47076781,40.463667,-3.74922,1394116310769,Fashion & Retail,Spain,M,25,133700.0,5348.0,,1698800,6386.466165413533
14,76000,49,True,1973,8,21,117.24,7.5,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,21427700000000,Technology,United States,M,754,4575100.0,6067.771883289125,California,1877900,5980.573248407643
15,68000,68,True,1954,12,1,125.08,2.9,50.6,100.2,77.0,9.4,59.2,1397715000,35.86166,104.195397,19910000000000,Food & Beverage,China,M,523,1805500.0,3452.1988527724666,,957200,4515.094339622641
16,64400,38,True,1984,5,14,117.24,7.5,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,21427700000000,Technology,United States,M,754,4575100.0,6067.771883289125,California,1877900,5980.573248407643
17,59000,87,False,1935,11,1,117.24,7.5,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,21427700000000,Diversified,United States,M,754,4575100.0,6067.771883289125,Kansas,905200,4840.641711229947
17,59000,60,False,1962,4,12,117.24,7.5,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,21427700000000,Diversified,United States,F,754,4575100.0,6067.771883289125,New York,905200,4840.641711229947
19,58800,74,False,1948,6,7,117.24,7.5,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,21427700000000,Fashion & Retail,United States,M,754,4575100.0,6067.771883289125,Arkansas,1698800,6386.466165413533
20,57600,78,False,1944,10,27,117.24,7.5,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,21427700000000,Fashion & Retail,United States,M,754,4575100.0,6067.771883289125,Arkansas,1698800,6386.466165413533
21,56700,73,False,1949,10,7,117.24,7.5,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,21427700000000,Fashion & Retail,United States,F,754,4575100.0,6067.771883289125,Texas,1698800,6386.466165413533
22,54400,65,False,1957,6,12,116.76,1.9,68.9,100.9,81.9,12.8,24.5,36991981,56.130366,-106.346771,1736425629520,Media & Entertainment,Canada,M,42,173900.0,4140.476190476191,,427500,4697.802197802198
23,50100,58,True,1965,2,23,117.24,7.5,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,21427700000000,Technology,United States,M,754,4575100.0,6067.771883289125,Texas,1877900,5980.573248407643
24,47200,60,True,1962,6,24,180.44,7.7,28.1,113.0,69.4,11.2,49.7,1366417754,20.593684,78.96288,2611000000000,Diversified,India,M,157,628700.0,4004.458598726115,,905200,4840.641711229947
25,45100,85,True,1938,2,24,117.24,7.5,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,21427700000000,Fashion & Retail,United States,M,754,4575100.0,6067.771883289125,Oregon,1698800,6386.466165413533
26,45000,39,True,1984,1,1,125.08,2.9,50.6,100.2,77.0,9.4,59.2,1397715000,35.86166,104.195397,19910000000000,Technology,China,M,523,1805500.0,3452.1988527724666,,1877900,5980.573248407643
27,42900,83,False,1939,9,24,112.85,1.4,70.2,104.0,80.9,11.5,48.8,83132799,51.165691,10.451526,3845630030824,Fashion & Retail,Germany,M,102,462100.0,4530.392156862745,,1698800,6386.466165413533
28,40100,86,True,1936,8,21,110.05,1.1,65.6,102.5,82.5,24.2,60.7,67059887,46.227638,2.213749,2715518274227,Fashion & Retail,France,M,35,499500.0,14271.42857142857,,1698800,6386.466165413533
29,39100,85,False,1937,6,2,99.55,0.4,59.6,105.2,83.6,10.1,28.8,8574832,46.818188,8.227512,703082435360,Logistics,Switzerland,M,78,409900.0,5255.128205128205,,239500,5987.5
30,38900,58,False,1964,9,21,117.11,1.4,79.7,103.9,81.6,24.0,55.4,11484055,50.503887,4.469936,529606710418,Food & Beverage,Belgium,M,3,41200.0,13733.333333333334,,957200,4515.094339622641
31,38300,83,False,1939,10,10,117.24,7.5,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,21427700000000,Food & Beverage,United States,F,754,4575100.0,6067.771883289125,Virginia,957200,4515.094339622641
31,38300,87,False,1935,10,15,117.24,7.5,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,21427700000000,Food & Beverage,United States,M,754,4575100.0,6067.771883289125,Wyoming,957200,4515.094339622641
33,38000,94,True,1928,6,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,Diversified,Hong Kong,M,68,321500.0,4727.941176470588,,905200,4840.641711229947
34,35300,51,True,1971,10,29,125.08,2.9,50.6,100.2,77.0,9.4,59.2,1397715000,35.86166,104.195397,19910000000000,Technology,China,M,523,1805500.0,3452.1988527724666,,1877900,5980.573248407643
35,35000,77,False,1945,10,10,117.24,7.5,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,21427700000000,Gambling & Casinos,United States,F,754,4575100.0,6067.771883289125,Nevada,120500,4820.0
35,35000,54,True,1968,10,15,117.24,7.5,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,21427700000000,Finance & Investments,United States,M,754,4575100.0,6067.771883289125,Florida,1605100,4314.784946236559
37,34700,30,False,1992,5,7,118.06,1.5,85.1,103.1,81.6,25.4,51.4,8877067,47.516231,14.550072,446314739528,Food & Beverage,Austria,M,11,75400.0,6854.545454545455,,957200,4515.094339622641
38,33400,54,True,1969,1,1,125.08,2.9,50.6,100.2,77.0,9.4,59.2,1397715000,35.86166,104.195397,19910000000000,Automotive,China,M,523,1805500.0,3452.1988527724666,,525300,7195.890410958904
39,32600,74,True,1949,2,7,105.48,0.5,63.2,98.8,84.2,11.9,46.7,126226568,36.204824,138.252924,5081769542380,Fashion & Retail,Japan,M,38,146800.0,3863.157894736842,,1698800,6386.466165413533
40,32100,65,True,1957,6,1,119.62,1.7,60.0,101.2,81.3,25.5,30.6,66834405,55.378051,-3.435973,2827113184696,Diversified,United Kingdom,M,82,370700.0,4520.731707317073,,905200,4840.641711229947
41,31600,74,False,1948,8,28,117.24,7.5,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,21427700000000,Fashion & Retail,United States,M,754,4575100.0,6067.771883289125,New York,1698800,6386.466165413533
41,31600,72,False,1951,1,9,117.24,7.5,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,21427700000000,Fashion & Retail,United States,M,754,4575100.0,6067.771883289125,New York,1698800,6386.466165413533
43,31200,82,True,1940,6,27,99.55,0.4,59.6,105.2,83.6,10.1,28.8,8574832,46.818188,8.227512,703082435360,Logistics,Switzerland,M,78,409900.0,5255.128205128205,,239500,5987.5
43,31200,78,True,1945,3,26,99.55,0.4,59.6,105.2,83.6,10.1,28.8,8574832,46.818188,8.227512,703082435360,Logistics,Switzerland,F,78,409900.0,5255.128205128205,,239500,5987.5
45,30200,43,True,1980,2,2,125.08,2.9,50.6,100.2,77.0,9.4,59.2,1397715000,35.86166,104.195397,19910000000000,Technology,China,M,523,1805500.0,3452.1988527724666,,1877900,5980.573248407643
46,29700,87,True,1935,4,20,112.85,1.4,70.2,104.0,80.9,11.5,48.8,83132799,51.165691,10.451526,3845630030824,Manufacturing,Germany,M,102,462100.0,4530.392156862745,,1019000,3145.061728395062
47,29500,95,True,1928,1,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,Real Estate,Hong Kong,M,68,321500.0,4727.941176470588,,657400,3406.2176165803107
48,28500,64,True,1958,7,17,117.24,7.5,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,21427700000000,Finance & Investments,United States,M,754,4575100.0,6067.771883289125,Pennsylvania,1605100,4314.784946236559
49,28100,84,True,1938,4,25,117.24,7.5,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,21427700000000,Finance & Investments,United States,M,754,4575100.0,6067.771883289125,New York,1605100,4314.784946236559
50,27800,76,True,1947,2,14,117.24,7.5,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,21427700000000,Finance & Investments,United States,M,754,4575100.0,6067.771883289125,New York,1605100,4314.784946236559
51,27400,60,False,1962,4,28,112.85,1.4,70.2,104.0,80.9,11.5,48.8,83132799,51.165691,10.451526,3845630030824,Automotive,Germany,F,102,462100.0,4530.392156862745,,525300,7195.890410958904
52,27000,69,False,1954,2,9,119.8,1.6,113.1,100.3,82.7,23.0,47.4,25766605,-25.274398,133.775136,1392680589329,Metals & Mining,Australia,F,43,173500.0,4034.883720930232,,446800,6037.8378378378375
53,26700,51,True,1971,10,1,125.08,2.9,50.6,100.2,77.0,9.4,59.2,1397715000,35.86166,104.195397,19910000000000,Technology,China,M,523,1805500.0,3452.1988527724666,,1877900,5980.573248407643
54,26600,69,False,1953,10,26,141.54,3.6,40.2,105.8,75.0,13.1,55.1,126014024,23.634501,-102.552784,1258286717125,Metals & Mining,Mexico,M,13,165700.0,12746.153846153846,,446800,6037.8378378378375
55,25600,77,True,1945,7,18,180.44,7.7,28.1,113.0,69.4,11.2,49.7,1366417754,20.593684,78.96288,2611000000000,Technology,India,M,157,628700.0,4004.458598726115,,1877900,5980.573248407643
